titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;12/01/2008;12/01/2008;EXTERIEUR;CHAUSSEE AVANT LE PONT DE L'OURCQ (GRUE);75019;CHAUSSEE AVANT LE PONT DE L'OURCQ (GRUE) 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;28/10/2008;28/10/2008;EXTERIEUR;PLACE JULES RIMET;75016;PLACE JULES RIMET 75016 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;24/11/2008;24/11/2008;EXTERIEUR;PONT DE CRIMEE;75019;PONT DE CRIMEE 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;15/12/2008;15/12/2008;EXTERIEUR;PONT DE BIR HAKEIM;75015;PONT DE BIR HAKEIM 75015 Paris France;48.855712, 2.287752
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;25/08/2008;25/08/2008;EXTERIEUR;RUE RAMBUTEAU/RUE MONTMARTRE (ANGLE);75001;RUE RAMBUTEAU/RUE MONTMARTRE (ANGLE) 75001 Paris France;
JE NE DIS PAS NON;ILIANA LOLIC;25/08/2008;25/08/2008;EXTERIEUR;RUE ROLLIN;75005;RUE ROLLIN 75005 Paris France;48.844679, 2.35105
JE NE DIS PAS NON;ILIANA LOLIC;26/08/2008;27/08/2008;DOMAINE PUBLIC;SQUARE DES BERGES;75004;SQUARE DES BERGES 75004 Paris France;
ERREUR DE LA BANQUE EN VOTRE FAVEUR;MICHEL MUNZ;19/09/2008;19/09/2008;EXTERIEUR;AVENUE DE COURCELLES;75017;AVENUE DE COURCELLES 75017 Paris France;
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;09/01/2008;09/01/2008;EXTERIEUR;RUE BOSSUET;75010;RUE BOSSUET 75010 Paris France;48.878601, 2.352245
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;09/02/2008;09/02/2008;EXTERIEUR;RUE SAINTE ANNE;75001;RUE SAINTE ANNE 75001 Paris France;
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;13/10/2008;13/10/2008;EXTERIEUR;RUE DE DUNKERQUE;75010;RUE DE DUNKERQUE 75010 Paris France;48.880718, 2.351657
LES DERNIERS JOURS DU MONDE;JEAN MARIE LARRIEU;09/11/2008;09/11/2008;EXTERIEUR;RUE BELZUNCE;75010;RUE BELZUNCE 75010 Paris France;
