titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
COCO;GAD ELMALEH;08/10/2008;08/10/2008;EXTERIEUR;AVENUE DES CHAMPS ELYSEES;75008;AVENUE DES CHAMPS ELYSEES 75008 Paris France;48.869576, 2.30825
JULIE AND JULIA;NORA EPHRON;06/10/2008;06/10/2008;EXTERIEUR;BOULEVARD GARIBALDI;75015;BOULEVARD GARIBALDI 75015 Paris France;48.846461, 2.306116
JULIE AND JULIA;NORA EPHRON;06/05/2008;06/05/2008;EXTERIEUR;PLACE DU PANTHEON;75005;PLACE DU PANTHEON 75005 Paris France;48.845685, 2.345901
JULIE AND JULIA;NORA EPHRON;06/10/2008;06/10/2008;EXTERIEUR;PONT DES ARTS;75006;PONT DES ARTS 75006 Paris France;48.858795, 2.337747
JULIE AND JULIA;NORA EPHRON;06/07/2008;06/07/2008;EXTERIEUR;PONT NOTRE DAME;75004;PONT NOTRE DAME 75004 Paris France;48.856491, 2.348808
JULIE AND JULIA;NORA EPHRON;06/10/2008;06/10/2008;EXTERIEUR;QUAI DE CONTI;75006;QUAI DE CONTI 75006 Paris France;
JULIE AND JULIA;NORA EPHRON;06/05/2008;06/05/2008;EXTERIEUR;RUE SAINT ETIENNE DU MONT;75005;RUE SAINT ETIENNE DU MONT 75005 Paris France;48.846669, 2.348351
JULIE AND JULIA;NORA EPHRON;06/10/2008;06/10/2008;EXTERIEUR;RUE SAINT LOUIS EN L'ILE;75004;RUE SAINT LOUIS EN L'ILE 75004 Paris France;
JULIE AND JULIA;NORA EPHRON;06/06/2008;06/06/2008;EXTERIEUR;RUE DE LA BUCHERIE;75005;RUE DE LA BUCHERIE 75005 Paris France;48.852142, 2.348129
JULIE AND JULIA;NORA EPHRON;06/05/2008;06/05/2008;EXTERIEUR;RUE FREDERIC SAUTON;75005;RUE FREDERIC SAUTON 75005 Paris France;
UN CHAT UN CHAT;SOPHIE FILLIERES;06/12/2008;06/12/2008;EXTERIEUR;RUE ABEL;75012;RUE ABEL 75012 Paris France;48.847116, 2.375202
UN CHAT UN CHAT;SOPHIE FILLIERES;15/07/2008;15/07/2008;DOMAINE PUBLIC;SQUARE LEOPOLD ACHILLE;75003;SQUARE LEOPOLD ACHILLE 75003 Paris France;48.85863, 2.362897
LA DOUBLE CROISEE;JEAN-CHARLES ATZENI;20/06/2008;20/06/2008;EXTERIEUR;AVENUE ALBERT 1ER DE MONACO;75016;AVENUE ALBERT 1ER DE MONACO 75016 Paris France;48.861649, 2.289984
LA DOUBLE CROISEE;JEAN-CHARLES ATZENI;06/06/2008;06/06/2008;EXTERIEUR;PLACE DU PARVIS;75018;PLACE DU PARVIS 75018 Paris France;48.886183, 2.34312
LA DOUBLE CROISEE;JEAN-CHARLES ATZENI;26/06/2008;26/06/2008;EXTERIEUR;PONT JEAN-PAUL II;75004;PONT JEAN-PAUL II 75004 Paris France;
G.I. JOE / DARK SKY;STEPHEN SOMMERS;08/03/2008;08/03/2008;EXTERIEUR;AVENUE DE LA MOTTE PICQUET;75007;AVENUE DE LA MOTTE PICQUET 75007 Paris France;48.856399, 2.308616
G.I. JOE / DARK SKY;STEPHEN SOMMERS;06/10/2008;06/12/2008;EXTERIEUR;PLACE DE L'ETOILE;75016;PLACE DE L'ETOILE 75016 Paris France;
G.I. JOE / DARK SKY;STEPHEN SOMMERS;08/01/2008;08/01/2008;EXTERIEUR;PLACE DE VARSOVIE;75009;PLACE DE VARSOVIE 75009 Paris France;
G.I. JOE / DARK SKY;STEPHEN SOMMERS;06/10/2008;06/12/2008;EXTERIEUR;QUAI BRANLY;75007;QUAI BRANLY 75007 Paris France;48.860709, 2.297512
INCOGNITO;ERIC LAVAINE;23/06/2008;23/06/2008;EXTERIEUR;PONT D'AUSTERLITZ;75012;PONT D'AUSTERLITZ 75012 Paris France;
INCOGNITO;ERIC LAVAINE;18/06/2008;18/06/2008;EXTERIEUR;RUE LEBLANC;75015;RUE LEBLANC 75015 Paris France;
LA SAINTE VICTOIRE;FRANCOIS FAVRAT;07/02/2008;07/02/2008;EXTERIEUR;RUE DE HARLAY;75001;RUE DE HARLAY 75001 Paris France;48.856581, 2.343213
L'ARMEE DU CRIME;ROBERT GUEDIGUIAN;20/07/2008;20/07/2008;EXTERIEUR;AVENUE DE WAGRAM ANGLE PLACE DE L'ETOILE;75008;AVENUE DE WAGRAM ANGLE PLACE DE L'ETOILE 75008 Paris France;
L'ARMEE DU CRIME;ROBERT GUEDIGUIAN;09/05/2008;09/05/2008;EXTERIEUR;PASSAGE SAINT SEBASTIEN;75011;PASSAGE SAINT SEBASTIEN 75011 Paris France;
L'ARMEE DU CRIME;ROBERT GUEDIGUIAN;29/08/2008;29/08/2008;EXTERIEUR;PASSAGE SAINT SEBASTIEN;75011;PASSAGE SAINT SEBASTIEN 75011 Paris France;
L'ARMEE DU CRIME;ROBERT GUEDIGUIAN;08/04/2008;08/04/2008;DOMAINE PUBLIC;PISCINE LAGARDERE;75016;PISCINE LAGARDERE 75016 Paris France;
L'ARMEE DU CRIME;ROBERT GUEDIGUIAN;07/07/2008;07/07/2008;EXTERIEUR;PONT DE LA TOURNELLE;75005;PONT DE LA TOURNELLE 75005 Paris France;48.850553, 2.355368
L'ARMEE DU CRIME;ROBERT GUEDIGUIAN;29/07/2008;29/07/2008;EXTERIEUR;QUAI DE L'HORLOGE;75001;QUAI DE L'HORLOGE 75001 Paris France;48.856845, 2.34408
LE CONCERT;RADU MIHAILEANU;26/06/2008;26/06/2008;EXTERIEUR;ARENES DES CHAMPS ELYSEES;75008;ARENES DES CHAMPS ELYSEES 75008 Paris France;
LE CONCERT;RADU MIHAILEANU;07/08/2008;07/10/2008;EXTERIEUR;QUAI D'ORSAY;75007;QUAI D'ORSAY 75007 Paris France;48.862618, 2.310791
LE CONCERT;RADU MIHAILEANU;22/08/2008;22/08/2008;EXTERIEUR;RUE DE MEAUX;75019;RUE DE MEAUX 75019 Paris France;48.882785, 2.375609
LE CONCERT;RADU MIHAILEANU;21/07/2008;21/07/2008;EXTERIEUR;RUE DU FAUBOURG SAINT HONORE;75008;RUE DU FAUBOURG SAINT HONORE 75008 Paris France;48.872845, 2.310735
IVERPATTALAM;MUTHUVAIRU PALANI;07/03/2008;07/03/2008;EXTERIEUR;PLACE DE VARSOVIE;75016;PLACE DE VARSOVIE 75016 Paris France;48.860104, 2.290901
IVERPATTALAM;MUTHUVAIRU PALANI;07/04/2008;07/04/2008;EXTERIEUR;QUAI MONTEBELLO;75005;QUAI MONTEBELLO 75005 Paris France;
THE REBOUND;B. FREUNDLICH;07/01/2008;07/01/2008;EXTERIEUR;AVENUE VICTOR HUGO;75016;AVENUE VICTOR HUGO 75016 Paris France;48.868405, 2.282084
LE PETIT NICOLAS;LAURENT TIRARD;09/06/2008;09/06/2008;EXTERIEUR;AVENUE FOCH;75016;AVENUE FOCH 75016 Paris France;48.872126, 2.285236
LE PETIT NICOLAS;LAURENT TIRARD;08/01/2008;08/01/2008;EXTERIEUR;AVENUE FROCHOT;75009;AVENUE FROCHOT 75009 Paris France;
LE PETIT NICOLAS;LAURENT TIRARD;22/09/2008;22/09/2008;EXTERIEUR;RUE DE LA BONNE;75018;RUE DE LA BONNE 75018 Paris France;48.888059, 2.343471
LE PETIT NICOLAS;LAURENT TIRARD;08/01/2008;08/01/2008;DOMAINE PUBLIC;RUE FOYATIER - ECOLE;75018;RUE FOYATIER - ECOLE 75018 Paris France;
LE PETIT NICOLAS;LAURENT TIRARD;19/09/2008;19/09/2008;EXTERIEUR;RUE GEORGES PEREC;75020;RUE GEORGES PEREC 75020 Paris France;
LE PETIT NICOLAS;LAURENT TIRARD;17/09/2008;17/09/2008;EXTERIEUR;RUE JULES SIEGFRIED;75020;RUE JULES SIEGFRIED 75020 Paris France;
LE COACH;OLIVIER DORAN;20/08/2008;20/08/2008;EXTERIEUR;AVENUE DE FRANCE;75013;AVENUE DE FRANCE 75013 Paris France;48.830637, 2.376768
LE COACH;OLIVIER DORAN;19/08/2008;19/08/2008;EXTERIEUR;AVENUE DE FRANCE;75013;AVENUE DE FRANCE 75013 Paris France;48.830637, 2.376768
LE COACH;OLIVIER DORAN;28/08/2008;28/08/2008;EXTERIEUR;BOULEVARD SAINT MICHEL;75006;BOULEVARD SAINT MICHEL 75006 Paris France;
LE COACH;OLIVIER DORAN;18/08/2008;22/08/2008;EXTERIEUR;PARKING DU 19, RUE DES FRIGOS;75013;PARKING DU 19, RUE DES FRIGOS 75013 Paris France;
LE COACH;OLIVIER DORAN;09/11/2008;09/11/2008;EXTERIEUR;RUE ROYALE;75008;RUE ROYALE 75008 Paris France;48.867987, 2.322978
LE COACH;OLIVIER DORAN;24/07/2008;24/07/2008;EXTERIEUR;RUE BISCORNET;75012;RUE BISCORNET 75012 Paris France;48.850192, 2.369834
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;29/07/2008;29/07/2008;EXTERIEUR;BOULEVARD DU PALAIS;75004;BOULEVARD DU PALAIS 75004 Paris France;48.855293, 2.34588
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;31/07/2008;31/07/2008;EXTERIEUR;CANAL DE L'OURCQ;75019;CANAL DE L'OURCQ 75019 Paris France;
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;10/02/2008;10/02/2008;DOMAINE PUBLIC;CIMETIERE DE MONTMARTRE;75018;CIMETIERE DE MONTMARTRE 75018 Paris France;48.887611, 2.330186
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;09/05/2008;09/05/2008;EXTERIEUR;PONT DES CELESTINS;75004;PONT DES CELESTINS 75004 Paris France;
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;29/07/2008;29/07/2008;EXTERIEUR;PONT AU CHANGE;75004;PONT AU CHANGE 75004 Paris France;48.856247, 2.346526
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;09/10/2008;09/10/2008;EXTERIEUR;PONT D'ARCOLE;75004;PONT D'ARCOLE 75004 Paris France;48.85546, 2.350547
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;09/01/2008;09/01/2008;DOMAINE PUBLIC;QUAI DES GRANDS AUGUSTINS (PENICHE);75006;QUAI DES GRANDS AUGUSTINS (PENICHE) 75006 Paris France;
LA BLONDE AUX SEINS NUS;MANUEL PRADAL;30/07/2008;30/07/2008;EXTERIEUR;QUAI DES ORFEVRES;75001;QUAI DES ORFEVRES 75001 Paris France;48.855464, 2.342859
MA MEC A MOI;J.J.ZILBERMANN;09/09/2008;09/09/2008;EXTERIEUR;BOULEVARD BARBES;75018;BOULEVARD BARBES 75018 Paris France;48.887872, 2.34953
MA MEC A MOI;J.J.ZILBERMANN;09/02/2008;09/02/2008;EXTERIEUR;RUE DE SUEZ;75018;RUE DE SUEZ 75018 Paris France;
MA MEC A MOI;J.J.ZILBERMANN;16/09/2008;16/09/2008;EXTERIEUR;RUE DE PANAMA;75018;RUE DE PANAMA 75018 Paris France;
MA MEC A MOI;J.J.ZILBERMANN;09/05/2008;09/05/2008;EXTERIEUR;RUE DE PANAMA;75018;RUE DE PANAMA 75018 Paris France;
GLAMROCK VILLE;LUC JOB;08/03/2008;08/03/2008;EXTERIEUR;PONT ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
GLAMROCK VILLE;LUC JOB;08/03/2008;08/03/2008;EXTERIEUR;QUAI FRANCOIS MAURIAC;75013;QUAI FRANCOIS MAURIAC 75013 Paris France;48.834138, 2.377319
GLAMROCK VILLE;LUC JOB;08/03/2008;08/03/2008;EXTERIEUR;RUE DU PETIT MUSC;75004;RUE DU PETIT MUSC 75004 Paris France;
HADEWIJCH;BRUNO DUMONT;08/10/2008;08/10/2008;EXTERIEUR;BOULEVARD SAINT GERMAIN;75005;BOULEVARD SAINT GERMAIN 75005 Paris France;48.851678, 2.342049
HADEWIJCH;BRUNO DUMONT;08/11/2008;08/11/2008;EXTERIEUR;BOULEVARD HENRI IV;75004;BOULEVARD HENRI IV 75004 Paris France;48.85155, 2.363724
HADEWIJCH;BRUNO DUMONT;19/08/2008;19/08/2008;EXTERIEUR;PARVIS DE L'EGLISE;75004;PARVIS DE L'EGLISE 75004 Paris France;
MON BEAU PERE;ELIE CHOURAQUI;09/08/2008;09/08/2008;EXTERIEUR;PONT MARIE;75004;PONT MARIE 75004 Paris France;48.852808, 2.357356
MON BEAU PERE;ELIE CHOURAQUI;08/08/2008;08/08/2008;EXTERIEUR;RUE MONTENOTTE;75017;RUE MONTENOTTE 75017 Paris France;
MON BEAU PERE;ELIE CHOURAQUI;08/08/2008;08/08/2008;EXTERIEUR;RUE BREY;75017;RUE BREY 75017 Paris France;
MON BEAU PERE;ELIE CHOURAQUI;09/05/2008;09/05/2008;EXTERIEUR;RUE DU DOCTEUR LANCEREAUX;75008;RUE DU DOCTEUR LANCEREAUX 75008 Paris France;48.876055, 2.310371
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;20/08/2008;20/08/2008;EXTERIEUR;BOULEVARD VICTOR;75015;BOULEVARD VICTOR 75015 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;26/11/2008;26/11/2008;DOMAINE PUBLIC;CANAL DE L'OURCQ;75019;CANAL DE L'OURCQ 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;09/01/2008;09/05/2008;EXTERIEUR;PASSERELLE D'IVRY SUR SEINE ET DE CHARENTON;94200;PASSERELLE D'IVRY SUR SEINE ET DE CHARENTON 94200 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;28/10/2008;28/10/2008;EXTERIEUR;PLACE DU DOCTEUR PAUL MICHAUX;75016;PLACE DU DOCTEUR PAUL MICHAUX 75016 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;26/11/2008;26/11/2008;EXTERIEUR;PONT DE CRIMEE;75019;PONT DE CRIMEE 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;25/11/2008;25/11/2008;EXTERIEUR;PONT DE CRIMEE;75019;PONT DE CRIMEE 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;27/11/2008;27/11/2008;EXTERIEUR;PONT DE L'OURCQ;75019;PONT DE L'OURCQ 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;12/01/2008;12/01/2008;EXTERIEUR;PONT DE L'OURCQ;75019;PONT DE L'OURCQ 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;28/11/2008;28/11/2008;EXTERIEUR;QUAI DE LA MARNE;75019;QUAI DE LA MARNE 75019 Paris France;48.889903, 2.383087
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;25/11/2008;25/11/2008;EXTERIEUR;QUAI DE L'OISE FACE RUE DE BITCHE;75019;QUAI DE L'OISE FACE RUE DE BITCHE 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;27/10/2008;27/10/2008;EXTERIEUR;RUE SPONTINI;75016;RUE SPONTINI 75016 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;15/12/2008;15/12/2008;EXTERIEUR;VOIE GEORGES POMPIDOU;75016;VOIE GEORGES POMPIDOU 75016 Paris France;48.850207, 2.278029
LES PETITS PRINCES;G. JULIEN LAFERRIERE;09/12/2008;09/12/2008;EXTERIEUR;AVENUE GEORGE V;75008;AVENUE GEORGE V 75008 Paris France;48.86833, 2.300986
JE NE DIS PAS NON;ILIANA LOLIC;10/06/2008;10/06/2008;EXTERIEUR;ALLEE DES JUSTES;75004;ALLEE DES JUSTES 75004 Paris France;48.855241, 2.355781
JE NE DIS PAS NON;ILIANA LOLIC;27/08/2008;27/08/2008;EXTERIEUR;PLACE ROGER PRIOU VALJEAN;75004;PLACE ROGER PRIOU VALJEAN 75004 Paris France;
JE NE DIS PAS NON;ILIANA LOLIC;26/08/2008;26/08/2008;EXTERIEUR;QUAI DE L'HOTEL DE VILLE;75004;QUAI DE L'HOTEL DE VILLE 75004 Paris France;48.854754, 2.353961
JE NE DIS PAS NON;ILIANA LOLIC;27/08/2008;27/08/2008;EXTERIEUR;RUE DU PONT LOUIS PHILIPPE;75004;RUE DU PONT LOUIS PHILIPPE 75004 Paris France;
JE NE DIS PAS NON;ILIANA LOLIC;18/08/2008;18/08/2008;EXTERIEUR;RUE DES QUATRE FILS;75003;RUE DES QUATRE FILS 75003 Paris France;48.860634, 2.359347
JE NE DIS PAS NON;ILIANA LOLIC;27/08/2008;27/08/2008;EXTERIEUR;RUE DU FIGUIER;75004;RUE DU FIGUIER 75004 Paris France;48.853872, 2.359054
JE NE DIS PAS NON;ILIANA LOLIC;26/08/2008;26/08/2008;EXTERIEUR;RUE DU PONT LOUIS PHILIPPE;75004;RUE DU PONT LOUIS PHILIPPE 75004 Paris France;
ERREUR DE LA BANQUE EN VOTRE FAVEUR;MICHEL MUNZ;19/09/2008;19/09/2008;EXTERIEUR;AVENUE MAC MAHON;75017;AVENUE MAC MAHON 75017 Paris France;48.876498, 2.294553
MONTE CARLO STORY;THOMAS BEZUCHA;28/06/2010;28/06/2010;EXTERIEUR;RUE DU PETIT PONT;75004;RUE DU PETIT PONT 75004 Paris France;
MONTE CARLO STORY;THOMAS BEZUCHA;22/06/2010;22/06/2010;EXTERIEUR;PASSERELLE DES ARTS;75006;PASSERELLE  DES ARTS 75006 Paris France;
MONTE CARLO STORY;THOMAS BEZUCHA;25/06/2010;25/06/2010;EXTERIEUR;COURS LA REINE;75008;COURS LA REINE 75008 Paris France;48.864827, 2.3142
MONTE CARLO STORY;THOMAS BEZUCHA;23/06/2010;23/06/2010;DOMAINE PUBLIC;PARC DE LA TURLURE;75018;PARC  DE LA TURLURE 75018 Paris France;
MONTE CARLO STORY;THOMAS BEZUCHA;21/06/2010;22/06/2010;EXTERIEUR;PLACE JACQUES RUEFF;75007;PLACE JACQUES RUEFF 75007 Paris France;48.855927, 2.298171
MONTE CARLO STORY;THOMAS BEZUCHA;28/06/2010;28/06/2010;EXTERIEUR;PONT ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
MONTE CARLO STORY;THOMAS BEZUCHA;23/06/2010;23/06/2010;EXTERIEUR;RUE DU CARDINAL LEMOINE;75018;RUE DU CARDINAL LEMOINE 75018 Paris France;
MONTE CARLO STORY;THOMAS BEZUCHA;22/06/2010;22/06/2010;EXTERIEUR;BERGES HAUTES DU VERT GALANT;75001;BERGES  HAUTES DU VERT GALANT 75001 Paris France;
MONTE CARLO STORY;THOMAS BEZUCHA;25/06/2010;25/06/2010;EXTERIEUR;PONT DES INVALIDES;75008;PONT DES INVALIDES 75008 Paris France;
BYE BYE BLONDIE;VIRGINIE DESPENTES;20/08/2010;20/08/2010;EXTERIEUR;RUE DU CAMBODGE;75020;RUE DU CAMBODGE 75020 Paris France;
BYE BYE BLONDIE;VIRGINIE DESPENTES;28/06/2010;28/06/2010;EXTERIEUR;PASSERELLE SIMONE DE BEAUVOIR;75013;PASSERELLE  SIMONE DE BEAUVOIR 75013 Paris France;
BYE BYE BLONDIE;VIRGINIE DESPENTES;28/06/2010;28/06/2010;EXTERIEUR;QUAI FRANCOIS MAURIAC;75013;QUAI FRANCOIS MAURIAC 75013 Paris France;48.834138, 2.377319
UN ETE BRULANT;PHILIPPE GARREL;29/07/2010;29/07/2010;EXTERIEUR;RUE DES CASCADES;75020;RUE DES CASCADES 75020 Paris France;
UN ETE BRULANT;PHILIPPE GARREL;08/01/2010;08/01/2010;EXTERIEUR;PLACE JEANNE D'ARC;75013;PLACE JEANNE D'ARC 75013 Paris France;48.829635, 2.368092
MIDNIGHT IN PARIS;WOODY ALLEN;07/12/2010;13/07/2010;EXTERIEUR;RUE MONSIEUR LE PRINCE;75006;RUE MONSIEUR LE PRINCE 75006 Paris France;48.848925, 2.34049
MIDNIGHT IN PARIS;WOODY ALLEN;08/03/2010;08/03/2010;EXTERIEUR;RUE DU CHEVALIER DE LA BARRE;75018;RUE DU CHEVALIER DE LA BARRE 75018 Paris France;48.887546, 2.344538
MIDNIGHT IN PARIS;WOODY ALLEN;27/07/2010;27/07/2010;DOMAINE PUBLIC;SQUARE JEAN XXIII;75004;SQUARE  JEAN XXIII 75004 Paris France;
MIDNIGHT IN PARIS;WOODY ALLEN;27/07/2010;28/07/2010;EXTERIEUR;RUE SAINT ETIENNE DU MONT;75005;RUE SAINT ETIENNE DU MONT 75005 Paris France;48.846669, 2.348351
MON PERE EST FEMME DE MENAGE;SAPHIA AZZEDDINE;20/07/2010;20/07/2010;EXTERIEUR;PLACE DU CARROUSEL;75001;PLACE DU CARROUSEL 75001 Paris France;48.861519, 2.33455
MON PERE EST FEMME DE MENAGE;SAPHIA AZZEDDINE;16/07/2010;16/07/2010;EXTERIEUR;PLACE DE L'OPERA;75009;PLACE DE L'OPERA 75009 Paris France;48.870766, 2.332529
LES HOMMES LIBRES;ISMAEL FERROUKHI;16/08/2010;16/08/2010;EXTERIEUR;BOULEVARD DELESSERT;75016;BOULEVARD DELESSERT 75016 Paris France;48.858939, 2.286563
LES HOMMES LIBRES;ISMAEL FERROUKHI;17/08/2010;17/08/2010;EXTERIEUR;QUAI DE BOURBON;75004;QUAI DE BOURBON 75004 Paris France;48.853023, 2.355285
LES HOMMES LIBRES;ISMAEL FERROUKHI;09/06/2010;09/06/2010;EXTERIEUR;CITE TREVISE;75009;CITE TREVISE 75009 Paris France;48.874042, 2.346534
LES HOMMES LIBRES;ISMAEL FERROUKHI;18/08/2010;18/08/2010;EXTERIEUR;RUE NAVARRE;75005;RUE NAVARRE 75005 Paris France;
LES HOMMES LIBRES;ISMAEL FERROUKHI;08/06/2010;08/06/2010;DOMAINE PUBLIC;SQUARE CAPITAN;75005;SQUARE  CAPITAN 75005 Paris France;
SWITCH;F. SCHOENDOERFFER;08/03/2010;08/03/2010;EXTERIEUR;AVENUE DE NEW YORK;75016;AVENUE DE NEW YORK 75016 Paris France;48.860897, 2.291779
SWITCH;F. SCHOENDOERFFER;24/08/2010;24/08/2010;EXTERIEUR;RUE DE LUTECE;75004;RUE DE LUTECE 75004 Paris France;48.854951, 2.34685
SWITCH;F. SCHOENDOERFFER;08/05/2010;08/05/2010;EXTERIEUR;RUE D'ORSEL;75018;RUE D'ORSEL 75018 Paris France;
SWITCH;F. SCHOENDOERFFER;08/03/2010;08/03/2010;EXTERIEUR;PORT DEBILLY;75016;PORT  DEBILLY 75016 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;15/12/2010;15/12/2010;EXTERIEUR;TERRE-PLEIN CENTRAL BOULEVARD AUGUSTE BLANQUI;75013;TERRE-PLEIN CENTRAL BOULEVARD AUGUSTE BLANQUI 75013 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;12/10/2010;12/10/2010;EXTERIEUR;BOULEVARD DE LA BASTILLE;75012;BOULEVARD DE LA BASTILLE 75012 Paris France;48.849015, 2.368086
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;12/03/2010;12/03/2010;DOMAINE PUBLIC;SQUARE DE CAMBRONNE;75015;SQUARE  DE CAMBRONNE 75015 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;30/11/2010;30/11/2010;EXTERIEUR;PLACE ET ESPLANADE DU CARROUSEL;75001;PLACE ET ESPLANADE DU CARROUSEL 75001 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;12/03/2010;12/03/2010;EXTERIEUR;AVENUE ROGER COHEN;75015;AVENUE ROGER COHEN 75015 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;20/08/2010;20/08/2010;EXTERIEUR;RUE JEAN PIERRE TIMBAUD;75011;RUE JEAN PIERRE TIMBAUD 75011 Paris France;48.8666, 2.373281
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;09/01/2010;09/01/2010;EXTERIEUR;RUE EURYALE DEHAYNIN;75019;RUE EURYALE DEHAYNIN 75019 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;17/09/2010;17/09/2010;EXTERIEUR;BOULEVARD DES ITALIENS ET RUE L. LEGRAND;75002;BOULEVARD DES ITALIENS ET RUE L. LEGRAND 75002 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;15/12/2010;15/12/2010;EXTERIEUR;TERRE-PLEIN SOUS METRO AERIEN DU  83 BD A. BLANQUI;75013;TERRE-PLEIN SOUS METRO AERIEN DU  83 BD A. BLANQUI 75013 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;17/09/2010;17/09/2010;EXTERIEUR;RUE TURBIGO ET RUE MONTMARTRE (ANGLE);75001;RUE TURBIGO ET RUE MONTMARTRE (ANGLE) 75001 Paris France;
LA PROIE;ERIC VALETTE;08/04/2010;08/04/2010;EXTERIEUR;AVENUE DE LA PORTE DE SAINT OUEN;75018;AVENUE DE LA PORTE DE SAINT OUEN 75018 Paris France;
J'AIME REGARDER LES FILLES / LE CIEL S'EST DECHIRE;FREDERIC LOUF;20/08/2010;20/08/2010;EXTERIEUR;RUE D'ABBEVILLE;75010;RUE D'ABBEVILLE 75010 Paris France;48.878537, 2.350564
J'AIME REGARDER LES FILLES / LE CIEL S'EST DECHIRE;FREDERIC LOUF;16/08/2010;16/08/2010;EXTERIEUR;RUE FABERT;75007;RUE FABERT 75007 Paris France;48.860135, 2.311396
J'AIME REGARDER LES FILLES / LE CIEL S'EST DECHIRE;FREDERIC LOUF;16/08/2010;16/08/2010;EXTERIEUR;AVENUE EMILE ZOLA;75015;AVENUE EMILE ZOLA 75015 Paris France;48.846552, 2.286121
ONE DAY;LONE SCHERFIG;31/08/2010;31/08/2010;EXTERIEUR;CARREFOUR RUE BICHAT;75010;CARREFOUR RUE BICHAT 75010 Paris France;
ONE DAY;LONE SCHERFIG;09/01/2010;09/01/2010;DOMAINE PUBLIC;ECLUSE DE LA RUE DIEU;75010;ECLUSE DE LA RUE DIEU 75010 Paris France;
ONE DAY;LONE SCHERFIG;09/01/2010;09/01/2010;EXTERIEUR;CARREFOUR RUE BICHAT;75010;CARREFOUR RUE BICHAT 75010 Paris France;
POURQUOI TU PLEURES ?;KATIA LEWKOWICZ;24/09/2010;24/09/2010;EXTERIEUR;RUE DUHESME;75018;RUE DUHESME 75018 Paris France;
POURQUOI TU PLEURES ?;KATIA LEWKOWICZ;28/09/2010;28/09/2010;EXTERIEUR;PLACE SAINT PIERRE;75018;PLACE SAINT PIERRE 75018 Paris France;48.884388, 2.343798
POURQUOI TU PLEURES ?;KATIA LEWKOWICZ;10/07/2010;10/07/2010;EXTERIEUR;RUE RAMBUTEAU/MONTMARTRE;75001;RUE RAMBUTEAU/MONTMARTRE 75001 Paris France;
POLISSE;MAÃWENN;17/10/2010;17/10/2010;EXTERIEUR;RUE DE BELLEVILLE;75019;RUE DE BELLEVILLE 75019 Paris France;48.875458, 2.391738
POLISSE;MAÃWENN;18/10/2010;18/10/2010;EXTERIEUR;AVENUE DE LA GRANDE ARMEE;75017;AVENUE DE LA GRANDE ARMEE 75017 Paris France;48.875769, 2.288989
LA PLANQUE;AKIM ISKER;09/02/2010;09/02/2010;EXTERIEUR;RUE ORFILA;75020;RUE ORFILA 75020 Paris France;
LA PLANQUE;AKIM ISKER;09/03/2010;09/03/2010;EXTERIEUR;PLACE MAURICE CHEVALIER;75020;PLACE MAURICE CHEVALIER 75020 Paris France;48.864475, 2.433651
LA PLANQUE;AKIM ISKER;09/02/2010;09/02/2010;EXTERIEUR;RUE DESIREE;75020;RUE DESIREE 75020 Paris France;
