ville;titre;lieu;date_debut;date_fin
paris;CYPRIEN;RUE DU FAUBOURG SAINT DENIS;25/07/2008;25/07/2008
paris;LE SEMINAIRE;AVENUE VICTORIA;06/06/2008;06/06/2008
paris;LE SEMINAIRE;PLACE DU CHATELET;06/06/2008;06/06/2008
paris;LE SEMINAIRE;RUE SAINT BON 75004;06/06/2008;06/06/2008
paris;LE SEMINAIRE;RUE AZAIS/R CARDINAL DUBOIS;20/05/2008;20/05/2008
paris;LE SEMINAIRE;RUE BICHAT 75010;28/05/2008;28/05/2008
paris;KOUTOUSOV, GAMBIT RUSSE;QUAI DE VALMY;06/04/2008;06/04/2008
paris;KOUTOUSOV, GAMBIT RUSSE;QUAI DE JEMMAPES 75010;06/04/2008;06/04/2008
paris;KOUTOUSOV, GAMBIT RUSSE;RUE DES VINAIGRIERS;06/04/2008;06/04/2008
paris;KOUTOUSOV, GAMBIT RUSSE;RUE BICHAT 75010;06/04/2008;06/04/2008
paris;UN SOIR AU CLUB;RUE DES TAILLANDIERS;19/05/2008;19/05/2008
paris;LA FILLE DU RER;BOULEVARD DE VAUGIRARD 75015;07/01/2008;07/01/2008
paris;LA FILLE DU RER;VOIE SUR BERGES;25/05/2008;25/05/2008
paris;QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES;AVENUE ELYSEE RECLUS ET R SYLVESTRE DE SACY 75007;20/06/2008;20/06/2008
paris;QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES;RUE D'ESTREES;16/06/2008;16/06/2008
paris;QUELQUE CHOSE A TE DIRE / LA FAUTE DES MERES;SQUARE LOUIS XIII 75004;07/07/2008;07/08/2008
paris;JE L'AIMAIS;RUE CLEMENT MAROT;06/05/2008;06/05/2008
paris;KROMOV;PLACE CONSTANTIN PECQUEUR;14/06/2008;14/06/2008
paris;TELLEMENT PROCHES;BOULEVARD SAINT GERMAIN;07/11/2008;07/11/2008
paris;JULIE AND JULIA;PLACE SAINT GENEVIEVE;06/05/2008;06/05/2008
paris;JULIE AND JULIA;PLACE DE L'ABBE BASSET;06/05/2008;06/05/2008
paris;JULIE AND JULIA;PONT SAINT LOUIS;06/10/2008;06/10/2008
paris;JULIE AND JULIA;PORT DES SAINTS PERES;06/10/2008;06/10/2008
paris;JULIE AND JULIA;QUAI DE L'HOTEL DE VILLE;06/07/2008;06/07/2008
paris;JULIE AND JULIA;RUE DU HAUT PAVE;06/05/2008;06/05/2008
paris;JULIE AND JULIA;RUE JEAN DU BELLAY;06/10/2008;06/10/2008
