title;year;genres;realisators;actors;synopsis;language;country;rate;duration;found
LES MAINS EN L'AIR/JE M'APPELLE TOUS MILANA;0;null;null;null;null;null;null;0.0;0;false
HAPPY FEW;2003;;Thomas Draschan,Stella Friedrichs,;N/a,;N/A;German;Austria, Germany;6.4;4;true
LES AVENTURES EXTRAORDINAIRES D'ADELE BLANC SEC;0;null;null;null;null;null;null;0.0;0;false
LES PETITS MOUCHOIRS;0;null;null;null;null;null;null;0.0;0;false
DRIFT AWAY;2012;;N/a,;Thomas Blanchard,Laurent Lacotte,Laetitia Spigarelli,Manuel Vallade,;N/A;French;France;3.8;0;true
LE COLLIER DU MAKOKO/LE LION DE POUBARA;0;null;null;null;null;null;null;0.0;0;false
EN VILLE;1982;;Jacques Demy,;Dominique Sanda,Danielle Darrieux,Richard Berry,Michel Piccoli,;A film musical in which every line is sung. The frame is about workers during a strike. They also prepare and perform a demonstration. Two personal relations develop against this background...;French;Italy, France;7.1;90;true
TA SOEUR;2001;;Martin Valente,;Lorànt Deutsch,Dan Herzberg,Emilie Blon-metzinger,Alain Figlarz,;N/A;French;France;6.4;9;true
THE JETWISH TOY MERCHANT;0;null;null;null;null;null;null;0.0;0;false
CODE 68;2005;;Jean-henri Roger,;Judith Cahen,Stanislas Merhar,Ariane Ascaride,Gérard Meylan,;Anne Buridan is about thirty years old and likes challenges. Her last challenge is to make a movie on May 68. It's a challenge, not only because she will be forced to face a story that is ...;French;France;4.0;93;true
BANLIEUE 13;0;null;null;null;null;null;null;0.0;0;false
NE TE RETOURNE PAS;2013;;Sophia Liu,;Roxane Kasperski,Audrey Liebot,;The story takes place in Paris at night. Louise, a 26-year-old painter/designer meets Natalie, a 23-year-old college student of literature, on the sidewalk in front of a cafe. They meet ...;French;China, Sweden, France;0.0;27;true
AVANT QUE J'OUBLIE;0;null;null;null;null;null;null;0.0;0;false
CHRYSALIS (AVATAR);0;null;null;null;null;null;null;0.0;0;false
UN CHATEAU EN ESPAGNE;0;null;null;null;null;null;null;0.0;0;false
FRAGILE(S);0;null;null;null;null;null;null;0.0;0;false
LA VIE D'ARTISTE;2007;;Marc Fitoussi,;Sandrine Kiberlain,Émilie Dequenne,Denis Podalydès,Valérie Benguigui,;N/A;French;France;6.3;107;true
DEMANDEZ LA PERMISSION AUX ENFANTS;0;null;null;null;null;null;null;0.0;0;false
JE DETESTE LES ENFANTS DES AUTRES;0;null;null;null;null;null;null;0.0;0;false
L'AMOUR CACHE;2006;;N/a,;N/a,;A man satisfies his passion for a woman through a fantasy life. Will his pent up desires drive him to commit a crime? A little short story that plays on parallel lives with almost no converging point.;N/A;N/A;0.0;4;true
RUSH HOUR 3;2007;;Jeff Nathanson,Ross Lamanna (characters),;Chris Tucker,Jackie Chan,Max Von Sydow,Hiroyuki Sanada,;After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.;English, French, Japanese, Mandarin, Latin;USA, Germany;6.2;91;true
BLIND DATE;1987;;Dale Launer,;Kim Basinger,Bruce Willis,John Larroquette,William Daniels,;Walter Davis is a workaholic. His attention is all to his work and very little to his personal life or appearance. Now he needs a date to take to his company's business dinner with a new ...;English;USA;5.8;95;true
APRES VOUS;2003;;Danièle Dubroux (idea),Benoît Graffin (scenario),David Léotard (collaboration),Pierre Salvadori (dialogue),Pierre Salvadori (scenario),Marc Syrigas (collaboration),;Daniel Auteuil,José Garcia,Sandrine Kiberlain,Marilyne Canto,;Antoine (Auteuil) saves Louis (Garcia) from hanging himself, though in his attempt to get Louis back on his feet, Antoine gets caught in a romantic triangle.;French;France;6.6;110;true
HISTOIRE DE MARIE ET JULIEN;0;null;null;null;null;null;null;0.0;0;false
7 ANS DE MARIAGE....;2003;;N/a,;Didier Bourdon,Catherine Frot,;N/A;French;France;0.0;15;true
